ka_pop,0.088,0.049426,0.00064497,-0.0032616,-0.000656,0.0023203,0.00038979,-0.00012961,0.002125,-0.00069402
V_pop,0.049426,1.5011,0.031611,-0.036594,-0.009297,-0.00015278,0.0029729,-0.0022459,-0.0019701,0.00056781
beta_V_lw70,0.00064497,0.031611,0.071719,-0.0008605,-0.015342,0.0033493,0.0010667,-0.00032124,-0.00036825,-0.00023425
Cl_pop,-0.0032616,-0.036594,-0.0008605,0.055559,0.018778,-0.00025809,-0.00016593,-4.8407e-5,-0.00041308,0.00015632
beta_Cl_lw70,-0.000656,-0.009297,-0.015342,0.018778,0.39069,-0.0029933,-0.0001616,-0.0012421,0.0026574,-0.00055344
omega_ka,0.0023203,-0.00015278,0.0033493,-0.00025809,-0.0029933,0.022546,0.00041957,-0.00010262,-9.2661e-5,-0.00018383
omega_V,0.00038979,0.0029729,0.0010667,-0.00016593,-0.0001616,0.00041957,0.0012044,-0.00033896,0.00029997,-0.00016717
omega_Cl,-0.00012961,-0.0022459,-0.00032124,-4.8407e-5,-0.0012421,-0.00010262,-0.00033896,0.0040519,0.00042426,-0.00010067
a,0.002125,-0.0019701,-0.00036825,-0.00041308,0.0026574,-9.2661e-5,0.00029997,0.00042426,0.013719,-0.002997
b,-0.00069402,0.00056781,-0.00023425,0.00015632,-0.00055344,-0.00018383,-0.00016717,-0.00010067,-0.002997,0.00093453
