parameter,value,se_sa,rse_sa
Tlag_pop,0.838188972626364,0.286641930544168,34.1977692269095
ka_pop,1.39250794790875,0.869377124397729,62.4324712618946
V_pop,8.04079354668778,0.241921469633091,3.008676547015
beta_V_lw70,0.869275177254459,0.146890241296891,16.898014016785
Cl_pop,0.134687844781915,0.00651083531408841,4.83401848520979
beta_Cl_lw70,0.588837920016085,0.252005538323638,42.7970974282285
Imax_pop,0.999996418682315,1.28196795127932e-5,0.00128197254243026
IC50_pop,1.17581056824947,0.0992263239049394,8.43897193853822
kin_pop,5.27415109049327,0.108391735790763,2.05515037265695
kout_pop,0.0543943897412312,0.00101141032174805,1.85940190993888
omega_Tlag,0.565736103971761,0.452075905572843,79.909325637702
omega_ka,0.909423732635409,0.651482625946544,71.6368621762949
omega_V,0.142023817605266,0.0214313934445304,15.0899995549308
omega_Cl,0.2614763398465,0.0349232875324641,13.3561941217955
omega_Imax,2.05164703471927,4.3911174078603,214.028891595437
omega_IC50,0.436628132899504,0.077441686734465,17.7363025648852
omega_kin,0.0474060142614987,0.0179900487304671,37.9488742319304
omega_kout,0.0260160141746065,0.0297834267759496,114.481129107857
a1,0.264320521493275,0.0449253689492423,16.9965497553641
b1,0.0495283704660756,0.00769537382101582,15.5373046772996
a2,4.07794111158693,0.413253661562244,10.1338800697254
