ka_pop,1,0.13599,0.0081186,-0.046646,-0.0035379,0.052092,0.037862,-0.0068637,0.061158,-0.07653
V_pop,0.13599,1,0.096344,-0.12672,-0.01214,-0.00083049,0.069919,-0.028798,-0.013729,0.01516
beta_V_lw70,0.0081186,0.096344,1,-0.013632,-0.091656,0.083291,0.11477,-0.018844,-0.01174,-0.028613
Cl_pop,-0.046646,-0.12672,-0.013632,1,0.12745,-0.0072921,-0.020284,-0.0032263,-0.014962,0.021694
beta_Cl_lw70,-0.0035379,-0.01214,-0.091656,0.12745,1,-0.031894,-0.0074496,-0.031217,0.036297,-0.028964
omega_ka,0.052092,-0.00083049,0.083291,-0.0072921,-0.031894,1,0.080516,-0.010737,-0.0052687,-0.040048
omega_V,0.037862,0.069919,0.11477,-0.020284,-0.0074496,0.080516,1,-0.15344,0.073797,-0.15757
omega_Cl,-0.0068637,-0.028798,-0.018844,-0.0032263,-0.031217,-0.010737,-0.15344,1,0.056904,-0.051734
a,0.061158,-0.013729,-0.01174,-0.014962,0.036297,-0.0052687,0.073797,0.056904,1,-0.83701
b,-0.07653,0.01516,-0.028613,0.021694,-0.028964,-0.040048,-0.15757,-0.051734,-0.83701,1
