Tlag_pop,1,-0.30941,0.26065,0.15093,-0.064036,-0.053363,-0.67456,0.072519,-0.52919,-0.48686,-0.40821,-0.42734,-0.033197,0.16292,0.64283,-0.40748,0.53299,-0.67829,-0.19121,-0.1493,0.43409
ka_pop,-0.30941,1,-0.30749,-0.18694,0.13804,0.073813,0.74963,-0.051335,0.59664,0.73846,0.82877,0.87248,0.095459,-0.22482,-0.77787,0.37479,-0.25327,0.57095,0.40943,-0.071919,-0.66469
V_pop,0.26065,-0.30749,1,0.18173,-0.054561,-0.034055,-0.34397,0.05502,-0.25081,-0.26628,-0.29509,-0.31312,0.05609,0.10013,0.35457,-0.20766,0.18551,-0.32088,-0.18515,0.0013209,0.28348
beta_V_lw70,0.15093,-0.18694,0.18173,1,-0.043239,-0.01836,-0.22443,0.033317,-0.16027,-0.17374,-0.18906,-0.20951,-0.045609,0.056166,0.22697,-0.13943,0.13864,-0.21153,-0.13023,0.0056196,0.19359
Cl_pop,-0.064036,0.13804,-0.054561,-0.043239,1,0.10468,0.14913,-0.053268,0.1042,0.12988,0.1738,0.17885,0.019842,-0.04474,-0.17481,0.10997,-0.080403,0.15476,0.11724,-0.024855,-0.15353
beta_Cl_lw70,-0.053363,0.073813,-0.034055,-0.01836,0.10468,1,0.077839,-0.01116,0.072981,0.082712,0.084664,0.08238,0.0038239,-0.033803,-0.089939,0.059149,-0.048234,0.081297,0.057793,-0.012505,-0.077587
Imax_pop,-0.67456,0.74963,-0.34397,-0.22443,0.14913,0.077839,1,-0.089474,0.69783,0.76783,0.77325,0.83336,0.086019,-0.2441,-0.91277,0.50782,-0.51323,0.82034,0.41774,0.018922,-0.74578
IC50_pop,0.072519,-0.051335,0.05502,0.033317,-0.053268,-0.01116,-0.089474,1,-0.082051,-0.016397,-0.053119,-0.084516,0.0051926,0.0078625,0.1052,-0.12569,0.11832,-0.15619,-0.07553,0.00050473,0.083891
kin_pop,-0.52919,0.59664,-0.25081,-0.16027,0.1042,0.072981,0.69783,-0.082051,1,0.79838,0.5957,0.63457,0.088736,-0.1884,-0.6869,0.35221,-0.42935,0.56321,0.35245,-0.025758,-0.50228
kout_pop,-0.48686,0.73846,-0.26628,-0.17374,0.12988,0.082712,0.76783,-0.016397,0.79838,1,0.76425,0.76398,0.12376,-0.22087,-0.79082,0.38883,-0.39056,0.59887,0.40854,-0.06017,-0.62101
omega_Tlag,-0.40821,0.82877,-0.29509,-0.18906,0.1738,0.084664,0.77325,-0.053119,0.5957,0.76425,1,0.85025,0.10372,-0.24141,-0.843,0.42549,-0.32233,0.64003,0.40485,-0.036088,-0.7184
omega_ka,-0.42734,0.87248,-0.31312,-0.20951,0.17885,0.08238,0.83336,-0.084516,0.63457,0.76398,0.85025,1,0.11383,-0.23763,-0.86574,0.45933,-0.36513,0.70918,0.44321,-0.045582,-0.73916
omega_V,-0.033197,0.095459,0.05609,-0.045609,0.019842,0.0038239,0.086019,0.0051926,0.088736,0.12376,0.10372,0.11383,1,-0.019517,-0.10567,0.038396,-0.0056053,0.05442,0.093658,-0.078855,-0.11285
omega_Cl,0.16292,-0.22482,0.10013,0.056166,-0.04474,-0.033803,-0.2441,0.0078625,-0.1884,-0.22087,-0.24141,-0.23763,-0.019517,1,0.25158,-0.12057,0.11244,-0.20565,-0.10214,-0.026326,0.20481
omega_Imax,0.64283,-0.77787,0.35457,0.22697,-0.17481,-0.089939,-0.91277,0.1052,-0.6869,-0.79082,-0.843,-0.86574,-0.10567,0.25158,1,-0.55521,0.4724,-0.86994,-0.4154,-0.041671,0.78202
omega_IC50,-0.40748,0.37479,-0.20766,-0.13943,0.10997,0.059149,0.50782,-0.12569,0.35221,0.38883,0.42549,0.45933,0.038396,-0.12057,-0.55521,1,-0.33922,0.5799,0.20375,0.068424,-0.45769
omega_kin,0.53299,-0.25327,0.18551,0.13864,-0.080403,-0.048234,-0.51323,0.11832,-0.42935,-0.39056,-0.32233,-0.36513,-0.0056053,0.11244,0.4724,-0.33922,1,-0.6187,-0.23224,-0.087386,0.30448
omega_kout,-0.67829,0.57095,-0.32088,-0.21153,0.15476,0.081297,0.82034,-0.15619,0.56321,0.59887,0.64003,0.70918,0.05442,-0.20565,-0.86994,0.5799,-0.6187,1,0.3334,0.12588,-0.70294
a1,-0.19121,0.40943,-0.18515,-0.13023,0.11724,0.057793,0.41774,-0.07553,0.35245,0.40854,0.40485,0.44321,0.093658,-0.10214,-0.4154,0.20375,-0.23224,0.3334,1,-0.65467,-0.39192
b1,-0.1493,-0.071919,0.0013209,0.0056196,-0.024855,-0.012505,0.018922,0.00050473,-0.025758,-0.06017,-0.036088,-0.045582,-0.078855,-0.026326,-0.041671,0.068424,-0.087386,0.12588,-0.65467,1,0.016105
a2,0.43409,-0.66469,0.28348,0.19359,-0.15353,-0.077587,-0.74578,0.083891,-0.50228,-0.62101,-0.7184,-0.73916,-0.11285,0.20481,0.78202,-0.45769,0.30448,-0.70294,-0.39192,0.016105,1
